Repository,Created_on,File_Name,File_Path,File_URL,Raw_URL
opensafely/cis-pop-validation-ehrql,2022-09-29T15:19:10Z,codelists_ehrql.py,analysis/codelists_ehrql.py,https://github.com/opensafely/cis-pop-validation-ehrql/blob/cce4f0bfaffa5370b00f847fbcfe742c7a13aeeb/analysis/codelists_ehrql.py,https://raw.githubusercontent.com/opensafely/cis-pop-validation-ehrql/cce4f0bfaffa5370b00f847fbcfe742c7a13aeeb/analysis/codelists_ehrql.py
opensafely/dummy-data-workshop,2024-11-19T08:39:46Z,ehrql_dataset_definition.py,analysis/ehrql_dataset_definition.py,https://github.com/opensafely/dummy-data-workshop/blob/1bb88e02c51757c3904b053867394a3fb559e1d2/analysis/ehrql_dataset_definition.py,https://raw.githubusercontent.com/opensafely/dummy-data-workshop/1bb88e02c51757c3904b053867394a3fb559e1d2/analysis/ehrql_dataset_definition.py
opensafely/early-inflammatory-arthritis,2022-02-22T10:53:22Z,codelists_ehrQL.py,analysis/codelists_ehrQL.py,https://github.com/opensafely/early-inflammatory-arthritis/blob/069e61712fcc9a0c2ec2804ff36a9b773073291c/analysis/codelists_ehrQL.py,https://raw.githubusercontent.com/opensafely/early-inflammatory-arthritis/069e61712fcc9a0c2ec2804ff36a9b773073291c/analysis/codelists_ehrQL.py
opensafely/asthma_sro,2022-02-07T12:00:24Z,ehrql_codelists_ast.py,analysis/ehrQL_code/ehrql_codelists_ast.py,https://github.com/opensafely/asthma_sro/blob/d75f6bef3b9992c2a5ee94efb6feb4e98b1a11c2/analysis/ehrQL_code/ehrql_codelists_ast.py,https://raw.githubusercontent.com/opensafely/asthma_sro/d75f6bef3b9992c2a5ee94efb6feb4e98b1a11c2/analysis/ehrQL_code/ehrql_codelists_ast.py
opensafely/end-of-life-carequality,2023-08-15T14:45:00Z,dataset_definition_ehrql_example.py,analysis/ehrql/dataset_definition_ehrql_example.py,https://github.com/opensafely/end-of-life-carequality/blob/e5f22f9ea0d8c042f1c69a13c8507ab81a62050d/analysis/ehrql/dataset_definition_ehrql_example.py,https://raw.githubusercontent.com/opensafely/end-of-life-carequality/e5f22f9ea0d8c042f1c69a13c8507ab81a62050d/analysis/ehrql/dataset_definition_ehrql_example.py
opensafely/pincer-measures,2021-08-06T08:45:07Z,utils.py,analysis/ehrQL/utils.py,https://github.com/opensafely/pincer-measures/blob/2e1589432d5ae2a9ac7d9b3bfecaae7db909776e/analysis/ehrQL/utils.py,https://raw.githubusercontent.com/opensafely/pincer-measures/2e1589432d5ae2a9ac7d9b3bfecaae7db909776e/analysis/ehrQL/utils.py
opensafely/ckd-healthcare-use,2022-11-29T15:55:13Z,costs_2020.py,analysis/costs_2020.py,https://github.com/opensafely/ckd-healthcare-use/blob/3f49d610b1077997caefdeb5d252153beb39cb31/analysis/costs_2020.py,https://raw.githubusercontent.com/opensafely/ckd-healthcare-use/3f49d610b1077997caefdeb5d252153beb39cb31/analysis/costs_2020.py
opensafely/open-pathology,2024-12-06T13:03:33Z,generate_yaml.py,generate_yaml.py,https://github.com/opensafely/open-pathology/blob/6ae0b56d3548aaf947ce980212c1089ad5d0b181/generate_yaml.py,https://raw.githubusercontent.com/opensafely/open-pathology/6ae0b56d3548aaf947ce980212c1089ad5d0b181/generate_yaml.py
opensafely/opioids-covid-research,2022-07-22T12:47:21Z,measures_carehome.py,analysis/measures_carehome.py,https://github.com/opensafely/opioids-covid-research/blob/0e45b0d3cfc0a4ccb418fd9ce63ffdf79ca41a99/analysis/measures_carehome.py,https://raw.githubusercontent.com/opensafely/opioids-covid-research/0e45b0d3cfc0a4ccb418fd9ce63ffdf79ca41a99/analysis/measures_carehome.py
opensafely/covid-diabetes-care,2023-08-01T22:13:20Z,dataset.py,analysis/dataset.py,https://github.com/opensafely/covid-diabetes-care/blob/d78d87bbba2bd006148aaadd4c1a8e6ba6783103/analysis/dataset.py,https://raw.githubusercontent.com/opensafely/covid-diabetes-care/d78d87bbba2bd006148aaadd4c1a8e6ba6783103/analysis/dataset.py
opensafely/openprompt-cohort-profile,2023-09-08T11:24:36Z,variable_lib.py,analysis/variable_lib.py,https://github.com/opensafely/openprompt-cohort-profile/blob/90d44ee26d30cd6c20b040721149719623c787be/analysis/variable_lib.py,https://raw.githubusercontent.com/opensafely/openprompt-cohort-profile/90d44ee26d30cd6c20b040721149719623c787be/analysis/variable_lib.py
opensafely/mainroute_cancer,2022-02-16T19:44:57Z,codelists.py,analysis/codelists.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/codelists.py,https://raw.githubusercontent.com/opensafely/mainroute_cancer/750f9804609c613eff525a31b356582960078508/analysis/codelists.py
opensafely/dummy-data-workshop,2024-11-19T08:39:46Z,ehrql_dataset_definition_london_adults.py,analysis/ehrql_dataset_definition_london_adults.py,https://github.com/opensafely/dummy-data-workshop/blob/1bb88e02c51757c3904b053867394a3fb559e1d2/analysis/ehrql_dataset_definition_london_adults.py,https://raw.githubusercontent.com/opensafely/dummy-data-workshop/1bb88e02c51757c3904b053867394a3fb559e1d2/analysis/ehrql_dataset_definition_london_adults.py
opensafely/qof,2024-07-24T11:48:17Z,dep_reg_dataset.py,analysis/dep_reg_dataset.py,https://github.com/opensafely/qof/blob/31598bb54fddfb644f9093615154e918c80a8a63/analysis/dep_reg_dataset.py,https://raw.githubusercontent.com/opensafely/qof/31598bb54fddfb644f9093615154e918c80a8a63/analysis/dep_reg_dataset.py
opensafely/waiting-list,2023-10-12T10:35:59Z,measures_checks.py,analysis/measures_checks.py,https://github.com/opensafely/waiting-list/blob/bd7aa099088922054ad13f9059686e6c6848716b/analysis/measures_checks.py,https://raw.githubusercontent.com/opensafely/waiting-list/bd7aa099088922054ad13f9059686e6c6848716b/analysis/measures_checks.py
opensafely/ehrql-test-study,2025-04-17T15:09:18Z,create-project-yaml.py,create-project-yaml.py,https://github.com/opensafely/ehrql-test-study/blob/07d5f283bb66f52a49933b016cf8dc144cfc7180/create-project-yaml.py,https://raw.githubusercontent.com/opensafely/ehrql-test-study/07d5f283bb66f52a49933b016cf8dc144cfc7180/create-project-yaml.py
opensafely/disease_incidence,2024-08-19T08:53:57Z,dataset_definition_measures.py,analysis/dataset_definition_measures.py,https://github.com/opensafely/disease_incidence/blob/063dc01317d867989be3e5239f99472df483dd7a/analysis/dataset_definition_measures.py,https://raw.githubusercontent.com/opensafely/disease_incidence/063dc01317d867989be3e5239f99472df483dd7a/analysis/dataset_definition_measures.py
opensafely/openprompt-vaccine-long-covid,2022-11-03T16:33:24Z,dataset_definition_controls.py,analysis/dataset_definition_controls.py,https://github.com/opensafely/openprompt-vaccine-long-covid/blob/8ff300a62cbaeb704c10c7aa7830aa1b6438236c/analysis/dataset_definition_controls.py,https://raw.githubusercontent.com/opensafely/openprompt-vaccine-long-covid/8ff300a62cbaeb704c10c7aa7830aa1b6438236c/analysis/dataset_definition_controls.py
opensafely/post-covid-neurodegenerative,2022-05-13T08:17:49Z,dataset_definition_prevax.py,analysis/dataset_definition/dataset_definition_prevax.py,https://github.com/opensafely/post-covid-neurodegenerative/blob/18541cefabb0e8298b5ad2137503adac99f8c707/analysis/dataset_definition/dataset_definition_prevax.py,https://raw.githubusercontent.com/opensafely/post-covid-neurodegenerative/18541cefabb0e8298b5ad2137503adac99f8c707/analysis/dataset_definition/dataset_definition_prevax.py
